TOPIC_NAME,DESCRIPTION,IMAGE_LINK
Technology,Technology is the sum of techniques,https://th.bing.com/th/id/R.6fd3b2549cf1f0bda36b71c42e8d3cd7?rik=L%2fCYIiqulbxToQ&riu=http%3a%2f%2fusdailyreview.com%2fwp-content%2fuploads%2f2014%2f08%2ftechnology.jpg&ehk=dzaRzyft3FDapcPTuIGU6nF%2b2zznUv5dDXCjidMhVMA%3d&risl=&pid=ImgRaw&r=0
Food and Drink,Food is any substance consumed to provide nutritional support for an organism. Food is usually of plant,https://th.bing.com/th/id/OIP.zebR4wkzuKDYa-xxN95KBQHaE4?rs=1&pid=ImgDetMain
Travel,"Travel is the movement of people between distant geographical locations. Travel can be done by foot, bicycle, automobile, train, boat, bus, airplane, ship or other means, with or without luggage, and can be one way or round trip.,",https://th.bing.com/th/id/OIP.H56X_FEtpw3fnZk5nzbBYwHaE8?rs=1&pid=ImgDetMain
Places,"An area, town, building etc., having some particular characteristic or use or regarded in some way.",https://th.bing.com/th/id/OIP.We8nyQuCfJ3JR9onKr7P3wHaFj?rs=1&pid=ImgDetMain
Clothing,"Clothing (also known as clothes, apparel, and attire) is items worn on the body. Clothing is typically made of fabrics or textiles but over time has included garments made from animal skin or other thin sheets of materials put together.",https://tse4.mm.bing.net/th?id=OIP.KYj8riQm23p7WPoqHHyIDAHaE8&pid=1.7&w=282&h=198&c=8&dpr=1.5
Animals,"Animals are multicellular eukaryotic organisms that form the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development.",https://th.bing.com/th/id/OIP.7oHoX_0UxSMyiQbWLvPIKAHaI0?rs=1&pid=ImgDetMain
Nature,"Nature, in the broadest sense, is the natural, physical, material world or universe. ""Nature"" can refer to the phenomena of the physical world, and also to life in general.",https://static.vecteezy.com/system/resources/previews/001/268/807/original/nature-park-scene-with-swamp-vector.jpg
Transport,"ransport (commonly used in the U.K.), or transportation (used in the U.S.), is the movement of humans, animals and goods from one location to another. In other words, the action of transport is defined as a particular movement of an organism or thing from a point A (a place in space) to a point B.",https://th.bing.com/th/id/OIP.CnGyfmsyR6xxsey1vLwElgHaGT?rs=1&pid=ImgDetMain
Education,"Education is the process of facilitating learning, or the acquisition of knowledge, skills, values, beliefs, and habits. Educational methods include teaching, training, storytelling, discussion and directed research.",
Family,"In human society, family (from Latin: familia) is a group of people related either by consanguinity (by recognized birth) or affinity (by marriage or other relationship).",https://cdn3.vectorstock.com/i/1000x1000/25/42/happy-family-cartoon-vector-23512542.jpg
Jobs,An activity through which an individual can earn money.,https://th.bing.com/th/id/OIP.7hddGvxMYKVRkvCltKWhqwHaEo?rs=1&pid=ImgDetMain
Health,Health is a state of physical,https://th.bing.com/th/id/OIP.wWVcdb22FLsdILj-0IzjVwHaH_?rs=1&pid=ImgDetMain
Numbers,"A number is a mathematical object used to count, measure, and label. The original examples are the natural numbers 1, 2, 3, and so forth.",https://eslvault.com/wp-content/uploads/2023/01/free-number-chart-1-20-colored.jpg
Greetings,"A greeting is a way to acknowledge someone's presence or to make someone feel welcomed. It is often used in more informal settings than the word ""hello"".",https://th.bing.com/th/id/OIP.lSA9rd5rKZBAhkqG8rC62gHaH2?rs=1&pid=ImgDetMain
Time,"Time is the indefinite continued progress of existence and events that occur in an apparently irreversible succession from the past, through the present, into the future.",https://th.bing.com/th/id/OIP.mUT4c_tU9Zet5LFgU4OpJgHaEK?rs=1&pid=ImgDetMain
Weather,"Weather is the state of the atmosphere, describing for example the degree to which it is hot or cold, wet or dry, calm or stormy, clear or cloudy.",https://th.bing.com/th/id/OIP.BawtpaPXOPRBlg_l1tumtAHaE8?rs=1&pid=ImgDetMain
